ID,title,label,type,topic,topic_con,rs,cr,l,tools,null
403,How to Create a Shiny or Glossy Shield Easily in Photoshop from Scratch,Beginner,t,Generation of Objects & Graphic Patterns#Design Shapes & Artwork#Text Effects,0.38#0.24#0.1,6,44.96,3571,anchor point tool#direct selection tool#rectangular marquee tool#lasso tool#polygonal lasso tool,
522,How to Create a Retro Vintage Badge in Adobe Photoshop,Beginner,t,Generation of Objects & Graphic Patterns#Text Effects#Design Shapes & Artwork,0.42#0.33#0.1,9,56.08,3267,move tool#rectangle tool#line tool#type tool#direct selection tool,
184,Create a Wine Bottle and Glass with Smart Objects,Advanced,t,Generation of Objects & Graphic Patterns#Design Shapes & Artwork,0.58#0.13,7,35.76,3516,pen tool#rectangular marquee tool#elliptical marquee tool,
123,Create a Retro Sign from Scratch Using Advanced Techniques in Photoshop,Advanced,t,Generation of Objects & Graphic Patterns#Design Shapes & Artwork,0.49#0.11,6,42.61,3731,brush tool#smudge tool#ellipse tool#paint bucket tool#rectangle tool,
187,Use Photoshop to Create a Still-Life Lamp Nightstand and Picture Frame,Advanced,t,Generation of Objects & Graphic Patterns,0.49,6,41.41,1906,blur tool#rectangular marquee tool#brush tool#dodge tool#burn tool,
150,Create a Snowy Landscape From Desert Photography in Photoshop,Advanced,t,Photo Composite & Manipulation,0.46,7,28.63,3668,clone stamp tool#pen tool#elliptical marquee tool#blend tool#rectangular marquee tool,
132,Create a Surreal Parting of the Sea Photo Manipulation,Advanced,t,Photo Composite & Manipulation,0.65,7,42.95,3626,lasso tool#magic wand tool#rectangular marquee tool#brush tool#quick selection tool,
133,Create a Battlefield Scene Using Stock Photography in Photoshop,Advanced,t,Photo Composite & Manipulation#Shading Texture & Color Blending#Photo Editing Manipulation & Special Effects,0.48#0.22#0.17,7,43.62,3808,brush tool#erase tool#free transform tool#pen tool#crop tool,
33,Create a Fantasy Angel Scene in Photoshop,Advanced,t,Photo Composite & Manipulation,0.83,11,52.29,1272,clone tool#dodge tool#burn tool#move tool,
170,Create a Mystic Asian-Inspired Temple in Photoshop,Advanced,t,Photo Composite & Manipulation#Shading Texture & Color Blending#Masking & Selection,0.37#0.14#0.11,7,35.21,3356,rectangular marquee tool#brush tool#pen tool#polygonal lasso tool#burn tool,
